| ID   | Mean (Gold) | Mean (C) | Mean Err% | Var (Gold) | Var (C)  | Var Err% | Y MAE (%) |
| 128  |      0.0229 |   0.0232 |     1.52% |     0.8757 |   0.8884 |    1.45% |     2.45% |
| 129  |      0.0292 |   0.0300 |     2.54% |     0.9497 |   0.9684 |    1.97% |     3.67% |
| 130  |      0.0350 |   0.0348 |     0.60% |     0.9431 |   0.9465 |    0.36% |     3.22% |
| 131  |      0.0279 |   0.0280 |     0.37% |     0.9342 |   0.9705 |    3.89% |     2.97% |
| 132  |      0.0107 |   0.0103 |     3.59% |     0.9476 |   0.9595 |    1.26% |     3.30% |
| 133  |      0.0029 |   0.0027 |     4.74% |     0.9342 |   0.9348 |    0.06% |     3.33% |
| 134  |      0.0081 |   0.0080 |     1.31% |     1.0014 |   1.0242 |    2.28% |     3.16% |
| 135  |     -0.0109 |  -0.0115 |     5.17% |     1.0186 |   1.0247 |    0.60% |     3.15% |
| 136  |     -0.0207 |  -0.0208 |     0.11% |     0.9904 |   1.0170 |    2.68% |     3.72% |
| 137  |     -0.0255 |  -0.0253 |     0.62% |     1.0297 |   1.0311 |    0.13% |     4.03% |
| 138  |     -0.0422 |  -0.0421 |     0.31% |     1.0581 |   1.0808 |    2.14% |     3.35% |
| 139  |     -0.0193 |  -0.0197 |     2.28% |     1.0363 |   1.0440 |    0.74% |     3.55% |
| 140  |     -0.0203 |  -0.0207 |     1.92% |     0.8625 |   0.8832 |    2.39% |     2.01% |
| 141  |      0.0046 |   0.0049 |     6.73% |     0.8415 |   0.8569 |    1.82% |     2.68% |
| 142  |      0.0160 |   0.0153 |     4.29% |     0.8864 |   0.8991 |    1.44% |     2.35% |
| 143  |      0.0251 |   0.0248 |     1.15% |     0.9240 |   0.9317 |    0.84% |     3.14% |
| 144  |      0.0170 |   0.0172 |     1.11% |     0.9026 |   0.9113 |    0.97% |     2.59% |
| 145  |      0.0189 |   0.0187 |     0.80% |     0.9273 |   0.9533 |    2.80% |     3.06% |
| 146  |      0.0047 |   0.0048 |     2.18% |     0.9320 |   0.9514 |    2.08% |     3.04% |
| 147  |      0.0008 |   0.0008 |     3.31% |     0.9014 |   0.9057 |    0.49% |     2.57% |
| 148  |      0.0034 |   0.0039 |    12.60% |     0.8497 |   0.8725 |    2.67% |     2.94% |
| 149  |      0.0176 |   0.0178 |     1.01% |     1.0075 |   1.0493 |    4.15% |     3.35% |
| 150  |     -0.0077 |  -0.0076 |     0.94% |     0.9107 |   0.9214 |    1.17% |     2.66% |
